,epoch,train_loss,val_loss
0,1,2661.2334303855896,0.0
1,2,2378.899151802063,0.0
2,3,2263.3368186950684,0.0
3,4,2157.1184735298157,0.0
4,5,2061.385669708252,0.0
5,6,2004.4996643066406,0.0
6,7,1946.7919249534607,0.0
7,8,1882.6659498214722,0.0
8,9,1836.3279881477356,0.0
9,10,1801.8373770713806,1801.45250415802
10,11,1752.5752804279327,0.0
11,12,1718.0923585891724,0.0
12,13,1695.3906588554382,0.0
13,14,1671.5109848976135,0.0
14,15,1626.0038447380066,0.0
15,16,1604.134700536728,0.0
